,date,orientation_class,sentiment_score,sentence_sentiment,token_sentiment,mean_sentiment,std_sentiment,token_mean,token_std
1053,2018-11-19,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604]",2.6666666666666665,0.12113128602351018
1054,2018-11-19,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263]",2.625,0.11884969349291746
1056,2018-04-19,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
1057,2018-10-25,LEFT,1,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
1058,2018-03-07,LEFT,4,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
1059,2018-06-21,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805]",2.611111111111111,0.12415756665561556
1061,2018-06-21,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
1062,2018-06-21,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
1064,2018-06-21,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944]",2.6666666666666665,0.1210435761681044
1066,2018-05-01,LEFT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
1068,2018-06-07,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296]",2.642857142857143,0.12317939026719947
1069,2018-03-14,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957]",2.6470588235294117,0.12201770493325148
1071,2018-07-19,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796]",2.5238095238095237,0.1213872279872659
1074,2018-10-18,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
1075,2018-05-02,LEFT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
1076,2018-05-02,LEFT,1,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
1079,2018-05-02,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944]",2.6666666666666665,0.1210435761681044
1081,2018-05-02,LEFT,1,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
1086,2018-05-02,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
1087,2018-05-02,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
1088,2018-05-02,LEFT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
1089,2018-05-02,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
1091,2018-03-19,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263]",2.625,0.11884969349291746
1093,2018-05-11,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
1094,2018-05-11,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
1095,2018-03-08,LEFT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
1096,2018-03-08,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
1097,2018-05-01,LEFT,4,"[2, 3, 3]","[1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687]",2.6666666666666665,0.13359290691208772
1100,2018-06-13,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944]",2.6666666666666665,0.1210435761681044
